Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
"LAPORAN POSISI KEUANGANPT BANK RAKYAT INDONESIA (PERSERO) TbkTanggal 30 Juni 2023 dan 31 Desember 2022(dalam jutaan rupiah)",,,,,
No.,POS - POS,INDIVIDUAL,KONSOLIDASIAN,,
,"30 Juni 2023(Direviu)","31 Desember 2022(Diaudit)","30 Juni 2023(Direviu)","31 Desember 2022(Diaudit)",
,,,,,
17.,Penghasilan komprehensif lain,,,,
,"a.Keuntungan",19.998.763,19.848.571,20.374.608,19.472.883
,"b.Kerugian -/-",(4.784.442),(5.145.961),(4.760.186),(4.346.863)
18.,Cadangan,,,,
,a.Cadangan umum,3.022.685,3.022.685,3.022.685,3.022.685
,b.Cadangan tujuan,-,-,-,-
19.,Laba/rugi,,,,
,a.Tahun-tahun lalu,159.372.471,146.436.494,163.255.306,146.976.937
,b.Tahun berjalan,26.265.520,47.827.920,29.421.509,51.170.312
,c.Dividen yang dibayarkan -/-,-,-,-,-
,"TOTAL EKUITAS YANG DAPAT DIATRIBUSIKAN KEPADAPEMILIK",284.713.860,293.621.954,293.518.538,299.294.011
20.,Kepentingan minoritas (minority interest),-,-,4.973.148,4.101.306
,,,,,
,TOTAL EKUITAS,284.713.860,293.621.954,298.491.686,303.395.317
,,,,,
,TOTAL LIABILITAS DAN EKUITAS,1.684.763.202,1.750.994.673,1.805.146.314,1.865.639.010
