Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
"LAPORAN KOMITMEN DAN KONTINJENSIPT BANK RAKYAT INDONESIA (PERSERO) TbkTanggal 30 Juni 2023 dan 31 Desember 2022(dalam jutaan rupiah)",,,,,
No.,POS - POS,INDIVIDUAL,KONSOLIDASIAN,,
,,"30 Juni 2023(Direviu)","31 Desember 2022(Diaudit)","30 Juni 2023(Direviu)","31 Desember 2022(Diaudit)"
,,,,,
I,TAGIHAN KOMITMEN,,,,
,1.Fasilitas pinjaman/pembiayaan yang belum ditarik,-,-,-,-
,2.Posisi valas yang akan diterima dari transaksi spot dan derivatif/forward,22.609.086,15.046.421,22.609.086,15.046.421
,3.Lainnya,-,-,-,-
,,,,,
II,KEWAJIBAN KOMITMEN,,,,
,1.Fasilitas kredit/pembiayaan yang belum ditarik,,,,
,a.Committed,-,-,128.788,4 91.741
,b.Uncommitted,108.749.201,85.798.322,108.749.201,85.798.322
,2.Irrevocable L/C  yang masih berjalan,12.910.272,13.656.363,12.910.272,13.658.668
,3.Posisi valas yang akan diserahkan untuk transaksi spot dan derivatif/forward,89.255.780,69.751.674,89.255.780,69.751.674
,4.Lainnya,-,-,-,-
,,,,,
III.,TAGIHAN KONTINJENSI,,,,
,1.Garansi yang diterima,-,-,-,-
,2.Lainnya,-,-,-,-
,,,,,
IV.,KEWAJIBAN KONTINJENSI,,,,
,1.Garansi yang diberikan,65.195.689,74.853.508,65.195.912,74.854.998
,2.Lainnya,-,-,-,-
,,,,,
