Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
"LAPORAN KUALITAS ASET PRODUKTIF DAN INFORMASI LAINNYAPT BANK RAKYAT INDONESIA (PERSERO) TbkTanggal 30 Juni 2023 dan 2022(dalam jutaan rupiah)",,,,,,,,,,,,,
No.,POS - POS,INDIVIDUAL,,,,,,,,,,,
,30 Juni 2023 (Direviu),30 Juni 2022,,,,,,,,,,,
,L,DPK,KL,D,M,Jumlah,L,DPK,KL,D,M,Jumlah,
,,,,,,,,,,,,,
II,PIHAK TIDAK TERKAIT,,,,,,,,,,,,
1.,Penempatan pada bank lain,,,,,,,,,,,,
,a.Rupiah,2.906.176,-,-,-,-,2.906.176,474.857,-,-,-,-,4 74.857
,b.Valuta asing,39.624.367,-,-,-,-,39.624.367,24.684.950,-,-,-,-,24.684.950
2.,Tagihan spot dan derivatif/forward,,,,,,,,,,,,
,a.Rupiah,1.045.729,-,-,-,-,1.045.729,506.994,-,-,-,-,5 06.994
,b.Valuta asing,63.599,-,-,-,-,63.599,109.555,-,-,-,-,1 09.555
3.,Surat berharga yang dimiliki,,,,,,,,,,,,
,a.Rupiah,185.842.664,6.239,-,-,-,185.848.903,213.828.125,-,-,98.776,-,213.926.901
,b.Valuta asing,113.716.461,-,-,-,-,113.716.461,113.774.779,-,-,14.312,-,113.789.091
4.,"Surat berharga yang dijual dengan janji dibeli kembali(Repo)",,,,,,,,,,,,
,a.Rupiah,19.866.674,-,-,-,-,19.866.674,3.355.806,-,-,-,-,3 .355.806
,b.Valuta asing,6.105.309,-,-,-,-,6.105.309,11.868.041,-,-,-,-,11.868.041
5.,"Tagihan atas surat berharga yang dibeli dengan janji dijualkembali (Reverse Repo)",,,,,,,,,,,,
,a.Rupiah,22.283.995,-,-,-,-,22.283.995,7.539.471,-,-,-,-,7 .539.471
,b.Valuta asing,-,-,-,-,-,-,-,-,-,-,-,-
6.,Tagihan akseptasi,7.617.863,-,-,-,-,7.617.863,7.888.654,-,-,162.288,-,8 .050.942
7.,Kredit yang diberikan dan pembiayaan yang diberikan  *),,,,,,,,,,,,
,"a.Debitur Usaha Mikro, Kecil dan Menengah (UMKM)",,,,,,,,,,,,
,i.Rupiah,572.424.634,4 2.296.755,4.987.001,6.494.750,8.572.967,634.776.107,517.884.523,32.778.126,2.841.090,5.015.186,11.475.113,569.994.038
,ii.Valuta asing,727.803,-,-,-,3.880,731.683,1.091.930,5.641,-,9.927,8.171,1 .115.669
,b.Bukan debitur UMKM,,,,,,,,,,,,
,i.Rupiah,322.395.474,1 5.628.853,684.820,1.498.637,7.038.351,347.246.135,317.483.969,14.345.607,408.461,2.007.517,6.327.260,340.572.814
,ii.Valuta asing,99.088.165,2 .823.567,76.632,129.411,4.319.062,106.436.837,80.646.086,5.858.450,1.636,317.948,4.934.492,91.758.612
,c.Kredit yang direstrukturisasi,,,,,,,,,,,,
,i.Rupiah,64.796.519,3 1.870.068,3.805.769,4.983.147,8.848.217,114.303.720,115.933.871,29.493.932,2.132.017,5.130.906,8.821.760,161.512.486
,ii.Valuta asing,5.044.103,2 .721.861,-,128.116,4.313.150,12.207.230,6.319.310,5.421.969,-,326.817,4.791.305,16.859.401
8.,Penyertaan modal,48.809.935,-,-,-,-,48.809.935,46.550.583,-,-,-,-,46.550.583
9.,Tagihan lainnya,-,-,-,-,-,-,-,-,-,-,-,-
10.,Komitmen dan kontinjensi,,,,,,,,,,,,
,a.Rupiah,95.839.070,1 .719.663,27.150,49.221,34.563,97.669.667,80.596.783,1.105.026,1.859,4.384,576.286,82.284.338
,b.Valuta asing,89.110.616,71.181,421,990,2.287,89.185.495,53.534.083,2 32.159,-,402,13.867,53.780.511
,,,,,,,,,,,,,
III,INFORMASI LAIN,,"--60.125",,"--63.303",,,,,,,,
"1.2.","Total aset bank yang dijaminkan :a.Pada Bank Indonesiab.Pada pihak lainAgunan yang diambil alih",,,,,,,,,,,,
